iter	Passed	Remaining
399	45434	67924
400	45539	67798
401	45662	67698
402	45774	67582
403	45892	67475
404	46004	67360
405	46121	67250
406	46239	67144
407	46352	67029
408	46469	66920
409	46584	66809
410	46694	66690
411	46811	66581
412	46919	66460
413	47034	66347
414	47149	66236
415	47258	66117
416	47373	66004
417	47485	65889
418	47598	65773
419	47705	65652
420	47817	65535
421	47928	65419
422	48044	65309
423	48155	65190
424	48265	65072
425	48376	64956
426	48486	64837
427	48597	64721
428	48704	64599
429	48814	64481
430	48923	64361
431	49031	64240
432	49140	64120
433	49249	64001
434	49364	63890
435	49477	63776
436	49589	63660
437	49695	63537
438	49803	63417
439	49912	63298
440	50023	63181
441	50132	63063
442	50245	62948
443	50356	62831
444	50467	62715
445	50579	62600
446	50691	62485
447	50804	62371
448	50922	62264
449	51046	62163
450	51158	62048
451	51278	61943
452	51397	61835
453	51520	61734
454	51643	61631
455	51761	61524
456	51877	61412
457	51995	61305
458	52114	61198
459	52231	61087
460	52345	60975
461	52473	60878
462	52595	60774
463	52713	60666
464	52826	60552
465	52948	60447
466	53066	60339
467	53183	60228
468	53303	60122
469	53429	60023
470	53551	59918
471	53669	59809
472	53785	59698
473	53901	59587
474	54027	59487
475	54141	59374
476	54255	59260
477	54371	59149
478	54490	59040
479	54606	58929
480	54719	58815
481	54836	58704
482	54947	58587
483	55063	58476
484	55180	58366
485	55294	58252
486	55407	58137
487	55526	58029
488	55649	57925
489	55767	57816
490	55880	57701
491	55994	57588
492	56114	57480
493	56230	57368
494	56347	57258
495	56462	57145
496	56579	57034
497	56702	56929
498	56820	56820
499	56934	56706
500	57048	56593
501	57163	56480
502	57277	56366
503	57391	56252
504	57504	56138
505	57628	56034
506	57746	55924
507	57858	55808
508	57965	55688
509	58079	55573
510	58188	55455
511	58301	55340
512	58416	55228
513	58521	55106
514	58633	54990
515	58745	54875
516	58859	54760
517	58968	54642
518	59077	54524
519	59190	54409
520	59306	54297
521	59418	54182
522	59529	54065
523	59650	53958
524	59763	53843
525	59877	53730
526	59992	53617
527	60102	53500
528	60215	53385
529	60328	53271
530	60443	53158
531	60559	53046
532	60673	52933
533	60788	52819
534	60898	52703
535	61011	52588
536	61120	52470
537	61239	52360
538	61350	52244
539	61459	52126
540	61579	52018
541	61696	51907
542	61805	51789
543	61911	51669
544	62018	51549
545	62126	51430
546	62236	51314
547	62345	51196
548	62454	51078
549	62567	50964
550	62677	50847
551	62796	50737
552	62904	50619
553	63015	50503
554	63124	50385
555	63233	50267
556	63342	50150
557	63452	50034
558	63563	49918
559	63671	49800
560	63782	49684
561	63890	49566
562	63999	49448
563	64109	49332
564	64217	49214
565	64324	49095
566	64433	48978
567	64546	48864
568	64678	48764
569	64788	48648
570	64900	48533
571	65013	48418
572	65125	48303
573	65239	48190
574	65353	48077
575	65471	47966
576	65581	47850
577	65701	47741
578	65825	47635
579	65943	47524
580	66060	47413
581	66171	47298
582	66279	47179
583	66387	47062
584	66504	46951
585	66620	46838
586	66732	46724
587	66850	46613
588	66956	46494
589	67067	46378
590	67176	46262
591	67283	46143
592	67392	46026
593	67506	45913
594	67621	45800
595	67732	45685
596	67841	45568
597	67951	45452
598	68062	45336
599	68168	45218
600	68276	45101
601	68386	44985
602	68494	44867
603	68608	44754
604	68716	44637
605	68827	44521
606	68948	44413
607	69058	44297
608	69168	44181
609	69276	44064
610	69391	43951
611	69505	43838
612	69618	43724
613	69731	43610
614	69845	43497
615	69960	43384
616	70076	43272
617	70194	43161
618	70303	43045
619	70417	42932
620	70529	42817
621	70643	42704
622	70759	42592
623	70871	42477
624	70988	42366
625	71099	42250
626	71212	42136
627	71323	42021
628	71436	41907
629	71555	41797
630	71673	41686
631	71791	41575
632	71907	41463
633	72024	41351
634	72141	41240
635	72262	41130
636	72375	41016
637	72493	40905
638	72621	40799
639	72734	40685
640	72853	40574
641	72966	40461
642	73089	40352
643	73206	40241
644	73323	40128
645	73437	40015
646	73556	39904
647	73678	39795
648	73796	39684
649	73916	39573
650	74031	39460
651	74156	39352
652	74273	39240
653	74392	39129
654	74512	39019
655	74635	38910
656	74756	38800
657	74868	38686
658	74985	38573
659	75107	38463
660	75227	38353
661	75344	38241
662	75461	38129
663	75580	38017
664	75700	37907
665	75810	37791
666	75921	37676
667	76040	37564
668	76154	37451
669	76268	37337
670	76385	37225
671	76503	37113
672	76626	37004
673	76742	36891
674	76857	36777
675	76976	36666
676	77094	36554
677	77214	36443
678	77325	36328
679	77442	36215
680	77558	36102
681	77678	35991
682	77795	35879
683	77911	35766
684	78030	35654
685	78150	35543
686	78258	35427
687	78376	35314
688	78488	35200
689	78607	35088
690	78724	34975
691	78834	34860
692	78943	34744
693	79053	34628
694	79167	34514
695	79277	34399
696	79387	34283
697	79498	34168
698	79613	34054
699	79725	33940
700	79833	33823
701	79940	33706
702	80050	33591
703	80165	33478
704	80274	33362
705	80381	33245
706	80489	33129
707	80607	33017
708	80725	32905
709	80836	32789
710	80950	32676
711	81059	32560
712	81174	32446
713	81285	32331
714	81401	32219
715	81516	32105
716	81638	31995
717	81751	31880
718	81857	31763
719	81966	31648
720	82077	31533
721	82187	31418
722	82300	31303
723	82411	31189
724	82523	31074
725	82634	30959
726	82748	30845
727	82854	30728
728	82967	30615
729	83074	30498
730	83184	30383
731	83294	30268
732	83406	30153
733	83512	30037
734	83627	29924
735	83743	29810
736	83875	29703
737	83984	29588
738	84095	29473
739	84207	29358
740	84319	29244
741	84433	29130
742	84547	29016
743	84658	28902
744	84770	28787
745	84885	28674
746	84995	28559
747	85110	28445
748	85215	28329
749	85326	28214
750	85437	28099
751	85547	27985
752	85659	27870
753	85769	27755
754	85880	27640
755	85992	27526
756	86096	27409
757	86207	27295
758	86316	27180
759	86429	27065
760	86539	26951
761	86647	26835
762	86755	26720
763	86870	26606
764	86978	26491
765	87082	26374
766	87188	26258
767	87304	26145
768	87413	26030
769	87525	25916
770	87640	25803
771	87752	25689
772	87863	25574
773	87985	25463
774	88094	25348
775	88208	25234
776	88327	25122
777	88439	25008
778	88552	24894
779	88666	24781
780	88776	24666
781	88887	24552
782	89004	24439
783	89115	24324
784	89230	24211
785	89344	24098
786	89460	23984
787	89571	23870
788	89682	23756
789	89791	23641
790	89903	23527
791	90016	23413
792	90122	23297
793	90227	23181
794	90337	23067
795	90451	22953
796	90564	22839
797	90676	22725
798	90784	22610
799	90895	22496
800	91011	22383
801	91125	22269
802	91232	22154
803	91342	22040
804	91459	21927
805	91584	21816
806	91700	21703
807	91814	21590
808	91933	21477
809	92054	21365
810	92169	21252
811	92279	21137
812	92401	21026
813	92516	20912
814	92639	20801
815	92750	20687
816	92868	20574
817	92979	20460
818	93091	20346
819	93211	20233
820	93331	20121
821	93444	20007
822	93569	19896
823	93683	19782
824	93805	19670
825	93924	19558
826	94046	19446
827	94160	19332
828	94273	19218
829	94388	19105
830	94503	18991
831	94624	18879
832	94742	18766
833	94856	18652
834	94973	18539
835	95091	18426
836	95207	18313
837	95318	18199
838	95434	18085
839	95551	17972
840	95670	17860
841	95779	17745
842	95893	17631
843	96011	17518
844	96126	17405
845	96244	17292
846	96361	17179
847	96475	17065
848	96600	16953
849	96714	16839
850	96828	16726
851	96940	16611
852	97055	16498
853	97173	16385
854	97286	16271
855	97403	16157
856	97520	16044
857	97650	15933
858	97772	15821
859	97889	15707
860	98014	15595
861	98134	15482
862	98251	15369
863	98364	15255
864	98479	15142
865	98597	15028
866	98713	14915
867	98830	14801
868	98940	14687
869	99050	14572
870	99159	14458
871	99277	14345
872	99394	14231
873	99506	14117
874	99627	14004
875	99741	13890
876	99852	13776
877	99958	13661
878	100068	13547
879	100173	13432
880	100281	13317
881	100393	13203
882	100503	13089
883	100615	12975
884	100733	12862
885	100842	12747
886	100953	12633
887	101066	12519
888	101171	12404
889	101294	12291
890	101404	12177
891	101517	12063
892	101630	11949
893	101741	11835
894	101851	11721
895	101960	11607
896	102064	11492
897	102173	11377
898	102285	11263
899	102394	11149
900	102503	11035
901	102618	10921
902	102730	10807
903	102841	10693
904	102952	10579
905	103065	10465
906	103179	10352
907	103292	10238
908	103406	10124
909	103518	10010
910	103634	9897
911	103748	9783
912	103860	9669
913	103974	9555
914	104085	9441
915	104197	9327
916	104304	9213
917	104419	9099
918	104530	8985
919	104640	8871
920	104746	8757
921	104857	8643
922	104966	8529
923	105078	8415
924	105189	8301
925	105298	8187
926	105483	8079
927	105599	7965
928	105712	7851
929	105817	7737
930	105926	7623
931	106036	7509
932	106142	7394
933	106248	7280
934	106358	7166
935	106469	7052
936	106580	6938
937	106692	6824
938	106806	6710
939	106917	6597
940	107031	6483
941	107145	6369
942	107260	6255
943	107374	6142
944	107491	6028
945	107607	5915
946	107722	5801
947	107830	5687
948	107936	5573
949	108048	5459
950	108159	5345
951	108270	5231
952	108380	5117
953	108491	5003
954	108611	4890
955	108717	4776
956	108827	4662
957	108937	4548
958	109044	4434
959	109154	4320
960	109261	4206
961	109368	4092
962	109481	3979
963	109602	3865
964	109712	3751
965	109825	3638
966	109937	3524
967	110063	3411
968	110170	3297
969	110285	3183
970	110401	3069
971	110513	2956
972	110629	2842
973	110742	2728
974	110852	2614
975	110963	2501
976	111072	2387
977	111186	2273
978	111294	2159
979	111407	2046
980	111517	1932
981	111630	1818
982	111745	1705
983	111858	1591
984	111975	1477
985	112093	1364
986	112208	1250
987	112324	1136
988	112438	1023
989	112561	909
990	112679	795
991	112804	682
992	112922	568
993	113038	454
994	113159	341
995	113272	227
996	113388	113
997	113508	0
